"FileFormat","FileSize","DatasetType","SurveyNum","SurveyId","FileType","FileDateLastModified","SurveyType","SurveyYearLabel","SurveyYear","DHS_CountryCode","FileName","CountryName"
"1","Flat ASCII data (.dat)",606065,"Survey Datasets",282,"AO2006MIS","Household Member Recode","July, 06 2009 16:00:33","MIS","2006-07","2006","AO","AOPR51FL.zip","Angola"
"2","Flat ASCII data (.dat)",11331,"GPS Datasets",282,"AO2006MIS","Geographic Data","March, 03 2012 11:32:30","MIS","2006-07","2006","AO","AOGE52FL.zip","Angola"
"3","Flat ASCII data (.dat)",708032,"Survey Datasets",282,"AO2006MIS","Household Recode","July, 06 2009 16:00:31","MIS","2006-07","2006","AO","AOHR51FL.zip","Angola"
"4","Flat ASCII data (.dat)",979450,"Survey Datasets",282,"AO2006MIS","Individual Recode","July, 06 2009 16:00:32","MIS","2006-07","2006","AO","AOIR51FL.zip","Angola"
"5","Flat ASCII data (.dat)",489312,"Survey Datasets",282,"AO2006MIS","Children's Recode","July, 06 2009 16:00:33","MIS","2006-07","2006","AO","AOKR51FL.zip","Angola"
"6","Flat ASCII data (.dat)",701090,"GPS Datasets",282,"AO2006MIS","Geospatial Covariates","September, 06 2018 16:09:11","MIS","2006-07","2006","AO","AOGC52FL.ZIP","Angola"
"7","Flat ASCII data (.dat)",764061,"GPS Datasets",395,"AO2011MIS","Geospatial Covariates","September, 06 2018 16:09:11","MIS","2011","2011","AO","AOGC62FL.ZIP","Angola"
"8","Flat ASCII data (.dat)",1274054,"Survey Datasets",395,"AO2011MIS","Household Member Recode","May, 08 2017 14:01:51","MIS","2011","2011","AO","AOPR62FL.ZIP","Angola"
"9","Flat ASCII data (.dat)",28754,"GPS Datasets",395,"AO2011MIS","Geographic Data","March, 05 2012 11:10:07","MIS","2011","2011","AO","AOGE61FL.ZIP","Angola"
"10","Flat ASCII data (.dat)",764362,"Survey Datasets",395,"AO2011MIS","Children's Recode","May, 08 2017 14:01:47","MIS","2011","2011","AO","AOKR62FL.ZIP","Angola"
"11","Flat ASCII data (.dat)",1260002,"Survey Datasets",395,"AO2011MIS","Births Recode","May, 08 2017 14:01:49","MIS","2011","2011","AO","AOBR62FL.ZIP","Angola"
"12","Flat ASCII data (.dat)",1290596,"Survey Datasets",395,"AO2011MIS","Household Recode","May, 08 2017 14:01:46","MIS","2011","2011","AO","AOHR62FL.ZIP","Angola"
"13","Flat ASCII data (.dat)",1635284,"Survey Datasets",395,"AO2011MIS","Individual Recode","May, 08 2017 14:01:44","MIS","2011","2011","AO","AOIR62FL.ZIP","Angola"
"14","Flat ASCII data (.dat)",6207309,"Survey Datasets",477,"AO2015DHS","Births Recode","June, 28 2017 10:25:00","DHS","2015-16","2015","AO","AOBR71FL.ZIP","Angola"
"15","Flat ASCII data (.dat)",4232095,"Survey Datasets",477,"AO2015DHS","Children's Recode","June, 28 2017 10:24:50","DHS","2015-16","2015","AO","AOKR71FL.ZIP","Angola"
"16","Flat ASCII data (.dat)",1328790,"Survey Datasets",477,"AO2015DHS","Men's Recode","June, 28 2017 10:25:11","DHS","2015-16","2015","AO","AOMR71FL.ZIP","Angola"
"17","Flat ASCII data (.dat)",5583873,"Survey Datasets",477,"AO2015DHS","Household Member Recode","June, 28 2017 10:25:09","DHS","2015-16","2015","AO","AOPR71FL.ZIP","Angola"
"18","Flat ASCII data (.dat)",141483,"HIV Datasets",477,"AO2015DHS","HIV Test Results Recode","June, 28 2017 11:50:42","DHS","2015-16","2015","AO","AOAR71FL.ZIP","Angola"
"19","Flat ASCII data (.dat)",70632,"GPS Datasets",477,"AO2015DHS","Geographic Data","October, 16 2019 15:48:23","DHS","2015-16","2015","AO","AOGE71FL.zip","Angola"
"20","Flat ASCII data (.dat)",1070218,"GPS Datasets",477,"AO2015DHS","Geospatial Covariates","October, 16 2019 15:48:23","DHS","2015-16","2015","AO","AOGC72FL.ZIP","Angola"
"21","Flat ASCII data (.dat)",10118729,"Survey Datasets",477,"AO2015DHS","Individual Recode","June, 28 2017 10:24:32","DHS","2015-16","2015","AO","AOIR71FL.ZIP","Angola"
"22","Flat ASCII data (.dat)",6688422,"Survey Datasets",477,"AO2015DHS","Household Recode","June, 28 2017 10:24:46","DHS","2015-16","2015","AO","AOHR71FL.ZIP","Angola"
"23","Flat ASCII data (.dat)",2476239,"Survey Datasets",477,"AO2015DHS","Couples' Recode","June, 28 2017 10:25:13","DHS","2015-16","2015","AO","AOCR71FL.ZIP","Angola"
